Unnamed: 0,Job ID,Date/Time,Roast amount (kg),1st malt amount (kg),2nd malt amount (kg),MT - Temperature,MT - Time,WK - Temperature,WK - Steam,WK - Time,Total cold wort,pH,Extract,Color,WOC - Time,WHP Transfer - Time,WHP Rest - Time,Roast color,1st malt color,2nd malt color,Product
0,2449959642,10/22/2020 2:50,64.49993439,16051.99658,3999.860052,67.31298447,6546.75,105.4085594,6482.25,6365.075,958.9,7.296126688,15.30944529,14.15695555,3126.1,729.925,14.49458333,908.375,6.127499795,6.019999897,AMST
1,2449959689,10/22/2020 5:44,64.5,16067.85283,4004.256635,66.93304129,6889.675,105.303989,6654.25,5929.7,963.2,7.219022429,15.28505681,14.27093933,3135.775,733.15,14.49458333,908.375,6.127499795,6.019999897,AMST
2,2449959720,10/22/2020 7:00,64.17751312,16062.20908,3996.957605,67.17704296,6614.475,105.2377529,7363.75,6366.15,1088.975,7.182910275,14.15517068,13.26913962,3492.675,912.675,14.49458333,908.375,6.127499795,6.019999897,AMST
3,2449960768,10/25/2020 17:38,21.39239502,23908.36533,0,67.91601934,6718.75,105.2028961,8825.75,6710.15,1127.675,,14.85530839,14.35355096,3935.575,883.65,14.49458333,908.375,6.127499795,6.557499897,HNK
4,2449960799,10/25/2020 19:33,21.17751312,24607.2875,0,67.03761578,6357.55,105.2377529,8213,6397.325,1122.3,,15.27002635,13.84742208,3717.35,824.525,14.49458333,908.375,6.557499897,6.127499795,HNK
5,2449960832,10/25/2020 22:38,21.28498688,23647.20542,0,67.20841408,6331.75,105.2377529,8148.5,6417.75,1122.3,,15.55889282,14.04401748,3598.025,828.825,14.49458333,908.375,6.557499897,6.127499795,HNK
6,2449960863,10/26/2020 1:42,21.17751312,23471.71167,0,68.00316133,6379.05,105.303989,8073.25,6417.75,1118,,15.6537843,14.18832667,4360.2,826.675,14.49458333,908.375,6.557499897,6.127499795,HNK
7,2449960911,10/26/2020 3:26,21.5,,0,68.8815649,6511.275,105.3388458,7783,6455.375,1140.575,,15.45319728,13.38207718,4455.875,965.35,14.49458333,908.375,6.557499897,6.127499795,HNK
8,2449961201,10/26/2020 18:46,64.39252625,,4010.975385,66.90167017,6708,105.1680393,7245.5,7046.625,954.6,,14.65647702,18.69328771,3630.275,870.75,14.49458333,908.375,6.127499795,6.019999897,AMST
9,2449961221,10/26/2020 20:24,64.17751312,,4012.16875,67.00275898,6526.325,105.1331825,6686.5,6744.55,964.275,,14.65302825,18.17670178,3136.85,740.675,14.49458333,908.375,6.127499795,6.019999897,AMST
10,2449961257,10/26/2020 23:26,64.60740814,,4015.770105,66.86681337,6766.05,105.1680393,6804.75,6690.8,964.275,,15.21396586,18.35238414,3143.3,,14.49458333,908.375,6.127499795,6.019999897,AMST
11,2449961293,10/27/2020 2:38,64.17751312,14042.99375,6072.449292,66.90167017,6721.975,105.1680393,6622,6609.1,966.425,,15.13138959,18.19761586,3170.175,,14.49458333,908.375,6.127499795,6.019999897,AMST
12,2449961341,10/27/2020 5:41,64.17751312,14051.15283,6078.738147,66.96790218,6708,105.1680393,6568.25,6531.7,966.425,,15.66373438,18.19761586,3209.95,,14.49458333,908.375,6.127499795,6.019999897,AMST
13,2449961374,10/27/2020 7:18,64.28492126,14141.35625,6070.138147,66.90167017,6744.55,105.1680393,6460.75,6501.6,966.425,7.382991362,15.7993309,18.15578771,3163.725,733.15,14.49458333,908.375,6.127499795,6.019999897,AMST
